
# Surface 0 of 1 surfaces

# Curve title: ""potential-pos_inverted_contourtmp0.dat""

# Contour 0, label:        4
 0.0434239 -0.500762  2 
 0.130379 -0.483348  2 
 0.143392 -0.478306  2 
 0.217334 -0.45289  2 
 0.304289 -0.397258  2 
 0.311407 -0.391351  2 
 0.391244 -0.311591  2 
 0.397215 -0.304396  2 
 0.452847 -0.217441  2 
 0.478199 -0.143793  2 
 0.483357 -0.130486  2 
 0.500737 -0.0435311  2 
 0.500777  0.0434239  2 
 0.483385  0.130379  2 
 0.478199  0.143762  2 
 0.452888  0.217334  2 
 0.397251  0.304289  2 
 0.391244  0.311528  2 
 0.311528  0.391244  2 
 0.304289  0.397251  2 
 0.217334  0.452888  2 
 0.143762  0.478199  2 
 0.130379  0.483385  2 
 0.0434239  0.500777  2 
-0.0435311  0.500737  2 
-0.130486  0.483357  2 


# Contour 21, label:      1.9
-0.217441  0.479475  1.9 
-0.219744  0.478199  1.9 
-0.304396  0.43153  1.9 
-0.352939  0.391244  1.9 
-0.391351  0.352795  1.9 
-0.4316  0.304289  1.9 
-0.478306  0.219455  1.9 
-0.479479  0.217334  1.9 
-0.513005  0.130379  1.9 
-0.52808  0.0434239  1.9 
-0.52808 -0.0435311  1.9 
-0.513005 -0.130486  1.9 
-0.47941 -0.217441  1.9 
-0.478306 -0.219437  1.9 
-0.431513 -0.304396  1.9 
-0.391351 -0.352778  1.9 
-0.352778 -0.391351  1.9 
-0.304396 -0.431513  1.9 
-0.219437 -0.478306  1.9 
-0.217441 -0.47941  1.9 
-0.130486 -0.513005  1.9 
-0.0435311 -0.52808  1.9 
 0.0434239 -0.52808  1.9 
 0.130379 -0.513005  1.9 
 0.217334 -0.479479  1.9 
 0.219455 -0.478306  1.9 
 0.304289 -0.4316  1.9 
 0.352795 -0.391351  1.9 
 0.391244 -0.352939  1.9 
 0.43153 -0.304396  1.9 
 0.478199 -0.219744  1.9 
 0.479475 -0.217441  1.9 
 0.513005 -0.130486  1.9 
 0.528055 -0.0435311  1.9 
 0.528078  0.0434239  1.9 
 0.513022  0.130379  1.9 
 0.479508  0.217334  1.9 
 0.478199  0.219701  1.9 
 0.43158  0.304289  1.9 
